KeyName,KeyLastWriteTimestamp,BusReportedDescription,Class,ClassGuid,Compid,ContainerId,Description,DriverId,DriverPackageStrongName,DriverName,DriverVerDate,DriverVerVersion,Enumerator,HWID,Inf,InstallState,Manufacturer,MatchingId,Model,ParentId,ProblemCode,Provider,Service,Stackid
swd/mmdevapi/microsoftgswavetablesynth,2018-04-06 07:23:10,Microsoft GS Wavetable Synth,softwaredevice,{62f9c741-b25a-46ce-b54c-9bccce08b6f2},"swd\genericraw,swd\generic",{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft GS Wavetable Synth,,c_swdevice.inf_amd64_b9ee6d1ea2d580ee,,06-21-2006,10.0.16299.15,swd,,c_swdevice.inf,0,Microsoft,swd\genericraw,Generic software device,htree\root\0,0,Microsoft,,\driver\softwaredevice
swd/mmdevapi/{0.0.0.00000000}.{98969132-9f8d-45f2-bafe-a920117eeebc},2018-04-06 07:23:10,Speakers (High Definition Audio Device),audioendpoint,{c166523c-fe0c-4a94-a586-f1a80cfbbf3e},"genericaudioendpoint,swd\genericraw,swd\generic",{27db0821-3bf9-f71a-f96f-a53403857690},Speakers (High Definition Audio Device),,audioendpoint.inf_amd64_4e87316ce2d2c5e9,,09-28-2017,10.0.16299.15,swd,mmdevapi\audioendpoints,audioendpoint.inf,0,Microsoft,mmdevapi\audioendpoints,Audio Endpoint,hdaudio\func_01&ven_111d&dev_76df&subsys_10280534&rev_1002\4&1a5cb910&0&0001,0,Microsoft,,\driver\softwaredevice
swd/mmdevapi/{0.0.1.00000000}.{df24540e-681f-4551-8810-f994f68a7846},2018-04-06 07:23:10,Microphone (High Definition Audio Device),audioendpoint,{c166523c-fe0c-4a94-a586-f1a80cfbbf3e},"genericaudioendpoint,swd\genericraw,swd\generic",{27db0821-3bf9-f71a-f96f-a53403857690},Microphone (High Definition Audio Device),,audioendpoint.inf_amd64_4e87316ce2d2c5e9,,09-28-2017,10.0.16299.15,swd,mmdevapi\audioendpoints,audioendpoint.inf,0,Microsoft,mmdevapi\audioendpoints,Audio Endpoint,hdaudio\func_01&ven_111d&dev_76df&subsys_10280534&rev_1002\4&1a5cb910&0&0001,0,Microsoft,,\driver\softwaredevice
swd/msdas/{ce958e9a-424f-4c88-86f4-11314821e75a},2018-04-06 07:23:10,Microsoft Device Association Root Enumerator,softwaredevice,{62f9c741-b25a-46ce-b54c-9bccce08b6f2},"swd\genericraw,swd\generic",{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft Device Association Root Enumerator,,c_swdevice.inf_amd64_b9ee6d1ea2d580ee,,06-21-2006,10.0.16299.15,swd,,c_swdevice.inf,0,Microsoft,swd\genericraw,Generic software device,htree\root\0,0,Microsoft,,\driver\softwaredevice
swd/msrras/ms_agilevpnminiport,2018-04-06 07:23:10,,net,{4d36e972-e325-11ce-bfc1-08002be10318},swd\generic,{27db0821-3bf9-f71a-f96f-a53403857690},WAN Miniport (IKEv2),000025ee4285e4c5e53aa05aeb707b593d05e8409435,netavpna.inf_amd64_6df7c78ffafae28e,agilevpn.sys,06-21-2006,10.0.16299.15,swd,ms_agilevpnminiport,netavpna.inf,0,Microsoft,ms_agilevpnminiport,WAN Miniport (IKEv2),swd\msrras\{5e259276-bc7e-40e3-b93b-8f89b5f3abc0},0,Microsoft,rasagilevpn,"\driver\rasagilevpn,\driver\softwaredevice"
swd/msrras/ms_l2tpminiport,2018-04-06 07:23:10,,net,{4d36e972-e325-11ce-bfc1-08002be10318},swd\generic,{27db0821-3bf9-f71a-f96f-a53403857690},WAN Miniport (L2TP),00000475f7f6bb00a7604f634501fcd67a4f1a95b0fd,netrasa.inf_amd64_32c3c4bd7096b456,rasl2tp.sys,06-21-2006,10.0.16299.15,swd,ms_l2tpminiport,netrasa.inf,0,Microsoft,ms_l2tpminiport,WAN Miniport (L2TP),swd\msrras\{5e259276-bc7e-40e3-b93b-8f89b5f3abc0},0,Microsoft,rasl2tp,"\driver\rasl2tp,\driver\softwaredevice"
swd/msrras/ms_ndiswanbh,2018-04-06 07:23:10,,net,{4d36e972-e325-11ce-bfc1-08002be10318},swd\generic,{27db0821-3bf9-f71a-f96f-a53403857690},WAN Miniport (Network Monitor),0000309ce596cda05d45dc8498faf513dc9399721707,netrasa.inf_amd64_32c3c4bd7096b456,ndiswan.sys,06-21-2006,10.0.16299.15,swd,ms_ndiswanbh,netrasa.inf,0,Microsoft,ms_ndiswanbh,WAN Miniport (Network Monitor),swd\msrras\{5e259276-bc7e-40e3-b93b-8f89b5f3abc0},0,Microsoft,ndiswan,"\driver\ndiswan,\driver\softwaredevice"
swd/msrras/ms_ndiswanip,2018-04-06 07:23:10,,net,{4d36e972-e325-11ce-bfc1-08002be10318},swd\generic,{27db0821-3bf9-f71a-f96f-a53403857690},WAN Miniport (IP),0000309ce596cda05d45dc8498faf513dc9399721707,netrasa.inf_amd64_32c3c4bd7096b456,ndiswan.sys,06-21-2006,10.0.16299.15,swd,ms_ndiswanip,netrasa.inf,0,Microsoft,ms_ndiswanip,WAN Miniport (IP),swd\msrras\{5e259276-bc7e-40e3-b93b-8f89b5f3abc0},0,Microsoft,ndiswan,"\driver\ndiswan,\driver\softwaredevice"
swd/msrras/ms_ndiswanipv6,2018-04-06 07:23:10,,net,{4d36e972-e325-11ce-bfc1-08002be10318},swd\generic,{27db0821-3bf9-f71a-f96f-a53403857690},WAN Miniport (IPv6),0000309ce596cda05d45dc8498faf513dc9399721707,netrasa.inf_amd64_32c3c4bd7096b456,ndiswan.sys,06-21-2006,10.0.16299.15,swd,ms_ndiswanipv6,netrasa.inf,0,Microsoft,ms_ndiswanipv6,WAN Miniport (IPv6),swd\msrras\{5e259276-bc7e-40e3-b93b-8f89b5f3abc0},0,Microsoft,ndiswan,"\driver\ndiswan,\driver\softwaredevice"
swd/msrras/ms_pppoeminiport,2018-04-06 07:23:10,,net,{4d36e972-e325-11ce-bfc1-08002be10318},swd\generic,{27db0821-3bf9-f71a-f96f-a53403857690},WAN Miniport (PPPOE),000058324ac36f089c23a06c4f04032308c888d3f2de,netrasa.inf_amd64_32c3c4bd7096b456,raspppoe.sys,06-21-2006,10.0.16299.15,swd,ms_pppoeminiport,netrasa.inf,0,Microsoft,ms_pppoeminiport,WAN Miniport (PPPOE),swd\msrras\{5e259276-bc7e-40e3-b93b-8f89b5f3abc0},0,Microsoft,raspppoe,"\driver\raspppoe,\driver\softwaredevice"
swd/msrras/ms_pptpminiport,2018-04-06 07:23:10,,net,{4d36e972-e325-11ce-bfc1-08002be10318},swd\generic,{27db0821-3bf9-f71a-f96f-a53403857690},WAN Miniport (PPTP),00009d05f5bc106f241f02b43e08457172980aec2c82,netrasa.inf_amd64_32c3c4bd7096b456,raspptp.sys,06-21-2006,10.0.16299.15,swd,ms_pptpminiport,netrasa.inf,0,Microsoft,ms_pptpminiport,WAN Miniport (PPTP),swd\msrras\{5e259276-bc7e-40e3-b93b-8f89b5f3abc0},0,Microsoft,pptpminiport,"\driver\pptpminiport,\driver\softwaredevice"
swd/msrras/ms_sstpminiport,2018-04-06 07:23:10,,net,{4d36e972-e325-11ce-bfc1-08002be10318},swd\generic,{27db0821-3bf9-f71a-f96f-a53403857690},WAN Miniport (SSTP),0000a4f754691071bf5077d533b3d9e086461c52f42a,netsstpa.inf_amd64_2e816690543f869e,rassstp.sys,06-21-2006,10.0.16299.15,swd,ms_sstpminiport,netsstpa.inf,0,Microsoft,ms_sstpminiport,WAN Miniport (SSTP),swd\msrras\{5e259276-bc7e-40e3-b93b-8f89b5f3abc0},0,Microsoft,rassstp,"\driver\rassstp,\driver\softwaredevice"
swd/msrras/{5e259276-bc7e-40e3-b93b-8f89b5f3abc0},2018-04-06 07:23:10,Microsoft RRAS Root Enumerator,softwaredevice,{62f9c741-b25a-46ce-b54c-9bccce08b6f2},"swd\genericraw,swd\generic",{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft RRAS Root Enumerator,,c_swdevice.inf_amd64_b9ee6d1ea2d580ee,,06-21-2006,10.0.16299.15,swd,,c_swdevice.inf,0,Microsoft,swd\genericraw,Generic software device,htree\root\0,0,Microsoft,,\driver\softwaredevice
swd/printenum/printqueues,2018-04-06 07:23:10,Root Print Queue,printqueue,{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc},"swd\genericraw,swd\generic",{27db0821-3bf9-f71a-f96f-a53403857690},Root Print Queue,,printqueue.inf_amd64_4973bbc88fb4d59d,,06-21-2006,10.0.16299.15,swd,printenum\localprintqueue,printqueue.inf,0,Microsoft,printenum\localprintqueue,Local Print Queue,htree\root\0,0,Microsoft,,\driver\softwaredevice
swd/printenum/{71f9de9e-3820-46a4-bb5e-de33e011db8a},2018-04-06 07:23:10,,printqueue,{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc},"genprintqueue,swd\genericraw,swd\generic",{f7522009-9b95-3d39-82b1-850eeec071d9},Fax,,printqueue.inf_amd64_4973bbc88fb4d59d,,06-21-2006,10.0.16299.15,swd,"printenum\microsoftmicrosoft_s7d14,printenum\localprintqueue,microsoftmicrosoft_s7d14",printqueue.inf,0,Microsoft,printenum\localprintqueue,Local Print Queue,swd\printenum\printqueues,0,Microsoft,,\driver\softwaredevice
swd/printenum/{8caf8cf7-bd5a-4fef-8c21-ca9ad015b4fd},2018-04-06 07:23:10,,printqueue,{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc},"genprintqueue,swd\genericraw,swd\generic",{6e6c2e2f-33a6-9d36-1acd-33707a987196},Microsoft XPS Document Writer,,printqueue.inf_amd64_4973bbc88fb4d59d,,06-21-2006,10.0.16299.15,swd,"printenum\{0f4130dd-19c7-7ab6-99a1-980f03b2ee4e},printenum\localprintqueue,{0f4130dd-19c7-7ab6-99a1-980f03b2ee4e}",printqueue.inf,0,Microsoft,printenum\localprintqueue,Local Print Queue,swd\printenum\printqueues,0,Microsoft,,\driver\softwaredevice
swd/printenum/{a2e1f142-e33a-470a-a4fd-11d840f55565},2018-04-06 07:23:10,,printqueue,{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc},"genprintqueue,swd\genericraw,swd\generic",{f90220f9-4f8a-608d-278b-198c3c4938ad},Microsoft Print to PDF,,printqueue.inf_amd64_4973bbc88fb4d59d,,06-21-2006,10.0.16299.15,swd,"printenum\{084f01fa-e634-4d77-83ee-074817c03581},printenum\localprintqueue,{084f01fa-e634-4d77-83ee-074817c03581}",printqueue.inf,0,Microsoft,printenum\localprintqueue,Local Print Queue,swd\printenum\printqueues,0,Microsoft,,\driver\softwaredevice
swd/printenum/{ac65bad5-ba77-4b34-a0d0-232a4a22fc14},2018-04-06 07:23:10,,printqueue,{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc},"genprintqueue,swd\genericraw,swd\generic",{056018f3-ea11-de01-11c1-516050c076bc},Send To OneNote 2016,,printqueue.inf_amd64_4973bbc88fb4d59d,,06-21-2006,10.0.16299.15,swd,"printenum\{3ee39114-30b4-45a4-a109-19d4a40fcc22},printenum\localprintqueue,{3ee39114-30b4-45a4-a109-19d4a40fcc22}",printqueue.inf,0,Microsoft,printenum\localprintqueue,Local Print Queue,swd\printenum\printqueues,0,Microsoft,,\driver\softwaredevice
swd/radio/bluetooth_28e347017777,2018-04-06 07:23:10,Bluetooth,softwaredevice,{62f9c741-b25a-46ce-b54c-9bccce08b6f2},"swd\genericraw,swd\generic",{27db0821-3bf9-f71a-f96f-a53403857690},Bluetooth,,c_swdevice.inf_amd64_b9ee6d1ea2d580ee,,06-21-2006,10.0.16299.15,swd,,c_swdevice.inf,0,Microsoft,swd\genericraw,Generic software device,swd\radio\{3db5895d-cc28-44b3-ad3d-6f01a782b8d2},0,Microsoft,,\driver\softwaredevice
swd/radio/{3db5895d-cc28-44b3-ad3d-6f01a782b8d2},2018-04-06 07:23:10,Microsoft Radio Device Enumeration Bus,softwaredevice,{62f9c741-b25a-46ce-b54c-9bccce08b6f2},"swd\genericraw,swd\generic",{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft Radio Device Enumeration Bus,,c_swdevice.inf_amd64_b9ee6d1ea2d580ee,,06-21-2006,10.0.16299.15,swd,,c_swdevice.inf,0,Microsoft,swd\genericraw,Generic software device,htree\root\0,0,Microsoft,,\driver\softwaredevice
swd/radio/{4b0ae068-b350-4bd4-85ab-77e00e581863},2018-04-06 07:23:10,Wi-Fi,softwaredevice,{62f9c741-b25a-46ce-b54c-9bccce08b6f2},"swd\genericraw,swd\generic",{27db0821-3bf9-f71a-f96f-a53403857690},Wi-Fi,,c_swdevice.inf_amd64_b9ee6d1ea2d580ee,,06-21-2006,10.0.16299.15,swd,,c_swdevice.inf,0,Microsoft,swd\genericraw,Generic software device,swd\radio\{3db5895d-cc28-44b3-ad3d-6f01a782b8d2},0,Microsoft,,\driver\softwaredevice
swd/wpdbusenum/_??_usbstor#disk&ven_sandisk&prod_extreme&rev_0001#aa010603160707470215&0#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},2018-04-06 07:23:10,,wpd,{eec5ad98-8080-425f-922a-dabf3de3f69a},"wpdbusenum\fs,swd\generic",{31c91f64-5f18-21bb-69b8-eeac97f68612},CloudLog,0000ac12380e5a7c063ed26ad4d8d67f5167516a78f2,wpdfs.inf_amd64_86b72dac27e0ea83,wudfrd.sys,06-21-2006,10.0.16299.15,swd,,wpdfs.inf,0,"SanDisk ",wpdbusenum\fs,"Extreme         ",storage\volume\_??_usbstor#disk&ven_sandisk&prod_extreme&rev_0001#aa010603160707470215&0#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},0,Microsoft,wudfwpdfs,"\driver\wpdupfltr,\driver\wudfrd,\driver\softwaredevice"
swd/wpdbusenum/{36c21bc6-396f-11e8-9b15-28e347017777}#0000000000100000,2018-04-06 12:35:18,,wpd,{eec5ad98-8080-425f-922a-dabf3de3f69a},"wpdbusenum\fs,swd\generic",{3d8e44c3-7ca7-50ab-b1f7-558352516c3d},Samsung_T5,0000ac12380e5a7c063ed26ad4d8d67f5167516a78f2,wpdfs.inf_amd64_86b72dac27e0ea83,wudfrd.sys,06-21-2006,10.0.16299.15,swd,,wpdfs.inf,0,"Samsung ",wpdbusenum\fs,"Portable SSD T5 ",storage\volume\{36c21bc6-396f-11e8-9b15-28e347017777}#0000000000100000,0,Microsoft,wudfwpdfs,"\driver\wpdupfltr,\driver\wudfrd,\driver\softwaredevice"
usb/root_hub20/4&1671a21&0,2018-04-06 07:23:10,,usb,{36fc9e60-c465-11cf-8056-444553540000},,{27db0821-3bf9-f71a-f96f-a53403857690},USB Root Hub,0000e88fe6988ca662e3c589469cd4ff48106980300f,usbport.inf_amd64_2c3800647ea6795b,usbhub.sys,06-21-2006,10.0.16299.15,usb,"usb\root_hub20&vid8086&pid1e26&rev0004,usb\root_hub20&vid8086&pid1e26,usb\root_hub20",usbport.inf,0,(Standard USB Host Controller),usb\root_hub20,USB Root Hub,pci\ven_8086&dev_1e26&subsys_05341028&rev_04\3&11583659&0&e8,0,Microsoft,usbhub,"\driver\usbhub,\driver\acpi,\driver\usbehci"
usb/root_hub20/4&b21407d&0,2018-04-06 07:23:10,,usb,{36fc9e60-c465-11cf-8056-444553540000},,{27db0821-3bf9-f71a-f96f-a53403857690},USB Root Hub,0000e88fe6988ca662e3c589469cd4ff48106980300f,usbport.inf_amd64_2c3800647ea6795b,usbhub.sys,06-21-2006,10.0.16299.15,usb,"usb\root_hub20&vid8086&pid1e2d&rev0004,usb\root_hub20&vid8086&pid1e2d,usb\root_hub20",usbport.inf,0,(Standard USB Host Controller),usb\root_hub20,USB Root Hub,pci\ven_8086&dev_1e2d&subsys_05341028&rev_04\3&11583659&0&d0,0,Microsoft,usbhub,"\driver\usbhub,\driver\acpi,\driver\usbehci"
usb/root_hub30/4&2d689036&0&0,2018-04-06 07:23:10,,usb,{36fc9e60-c465-11cf-8056-444553540000},,{27db0821-3bf9-f71a-f96f-a53403857690},USB Root Hub (USB 3.0),00007554a46932dea508667ae418e54a697d0f8b0678,usbhub3.inf_amd64_67e211412f3ed505,usbhub3.sys,02-21-2018,10.0.16299.251,usb,"usb\root_hub30&vid8086&pid1e31&rev0004,usb\root_hub30&vid8086&pid1e31,usb\root_hub30",usbhub3.inf,0,(Standard USB HUBs),usb\root_hub30,USB Root Hub (USB 3.0),pci\ven_8086&dev_1e31&subsys_05341028&rev_04\3&11583659&0&a0,0,Microsoft,usbhub3,"\driver\usbhub3,\driver\acpi,\driver\usbxhci"
usb/vid_04e8&pid_61f5/msft3012345679fd0b,2018-04-06 12:35:18,Portable SSD T5,scsiadapter,{4d36e97b-e325-11ce-bfc1-08002be10318},"usb\class_08&subclass_06&prot_62,usb\class_08&subclass_06,usb\class_08",{3d8e44c3-7ca7-50ab-b1f7-558352516c3d},USB Attached SCSI (UAS) Mass Storage Device,00001b2f293538cebfcd27ae9a247adde5c9d19475f9,uaspstor.inf_amd64_97be50fa9853ce4e,uaspstor.sys,06-21-2006,10.0.16299.15,usb,"usb\vid_04e8&pid_61f5&rev_0100,usb\vid_04e8&pid_61f5",uaspstor.inf,0,USB Attached SCSI (UAS) Compatible Device,usb\class_08&subclass_06&prot_62,USB Attached SCSI (UAS) Mass Storage Device,usb\root_hub30\4&2d689036&0&0,0,Microsoft,uaspstor,"\driver\uaspstor,\driver\acpi,\driver\usbhub3"
usb/vid_0781&pid_5580/aa010603160707470215,2018-04-06 07:23:10,Extreme,usb,{36fc9e60-c465-11cf-8056-444553540000},"usb\class_08&subclass_06&prot_50,usb\class_08&subclass_06,usb\class_08",{31c91f64-5f18-21bb-69b8-eeac97f68612},USB Mass Storage Device,0000a08871243f1e2e950da8f67fc01b38c36dbe6d7b,usbstor.inf_amd64_d4e2b6b73906776d,usbstor.sys,06-21-2006,10.0.16299.15,usb,"usb\vid_0781&pid_5580&rev_0010,usb\vid_0781&pid_5580",usbstor.inf,0,Compatible USB storage device,usb\class_08&subclass_06&prot_50,USB Mass Storage Device,usb\vid_8087&pid_0024\5&2cd6d949&0&1,0,Microsoft,usbstor,"\driver\usbstor,\driver\acpi,\driver\usbhub"
usb/vid_0c45&pid_643f&mi_00/7&2bca401f&0&0000,2018-04-06 07:23:10,Integrated Webcam,camera,{ca3e7ab9-b4c3-4ae6-8251-579ef933890f},"usb\class_0e&subclass_03&prot_00,usb\class_0e&subclass_03,usb\class_0e",{27db0821-3bf9-f71a-f96f-a53403857690},Integrated Webcam,0000cedd862a9db8b6c4b30601b02766e2ed0b6b7680,usbvideo.inf_amd64_24cfe085f164e292,usbvideo.sys,06-21-2006,10.0.16299.15,usb,"usb\vid_0c45&pid_643f&rev_2806&mi_00,usb\vid_0c45&pid_643f&mi_00",usbvideo.inf,0,Microsoft,usb\class_0e,USB Video Device,usb\vid_0c45&pid_643f\6&c0f0d73&0&5,0,Microsoft,usbvideo,"\driver\ksthunk,\driver\usbvideo,\driver\acpi,\driver\usbccgp"
usb/vid_0c45&pid_643f/6&c0f0d73&0&5,2018-04-06 07:23:10,Laptop_Integrated_Webcam_E4HD,usb,{36fc9e60-c465-11cf-8056-444553540000},"usb\devclass_00&subclass_00&prot_00,usb\devclass_00&subclass_00,usb\devclass_00,usb\composite",{27db0821-3bf9-f71a-f96f-a53403857690},USB Composite Device,000062c38d86bce8d60a6223e8088d7a617afefca8d5,usb.inf_amd64_ebcab8a14ba66a64,usbccgp.sys,06-21-2006,10.0.16299.15,usb,"usb\vid_0c45&pid_643f&rev_2806,usb\vid_0c45&pid_643f",usb.inf,0,(Standard USB Host Controller),usb\composite,USB Composite Device,usb\vid_8087&pid_0024\5&182c2717&0&1,0,Microsoft,usbccgp,"\driver\usbccgp,\driver\acpi,\driver\usbhub"
usb/vid_413c&pid_8197/28e347017777,2018-04-06 07:23:10,DW380 Bluetooth Module,bluetooth,{e0cbf06c-cd8b-4647-bb8a-263b43f0f974},"usb\class_ff&subclass_01&prot_01,usb\class_ff&subclass_01,usb\class_ff",{27db0821-3bf9-f71a-f96f-a53403857690},Dell Wireless 380 Bluetooth 4.0 Module,000082da12a969d0057d4c8020650946bfe982c5fa34,bcbtums-win8x64-brcm.inf_amd64_354ddbc7c4176c53,bthusb.sys,09-23-2015,12.0.1.750,usb,"usb\vid_413c&pid_8197&rev_0112,usb\vid_413c&pid_8197",oem8.inf,0,Broadcom,usb\vid_413c&pid_8197,Dell Wireless 380 Bluetooth 4.0 Module,usb\vid_8087&pid_0024\5&182c2717&0&1,0,Broadcom Corporation,bthusb,"\driver\bthusb,\driver\bcbtums,\driver\acpi,\driver\usbhub"
usb/vid_8087&pid_0024/5&182c2717&0&1,2018-04-06 07:23:10,,usb,{36fc9e60-c465-11cf-8056-444553540000},"usb\class_09&subclass_00&prot_00,usb\class_09&subclass_00,usb\class_09",{27db0821-3bf9-f71a-f96f-a53403857690},Generic USB Hub,0000e88fe6988ca662e3c589469cd4ff48106980300f,usb.inf_amd64_ebcab8a14ba66a64,usbhub.sys,06-21-2006,10.0.16299.15,usb,"usb\vid_8087&pid_0024&rev_0000,usb\vid_8087&pid_0024",usb.inf,0,(Generic USB Hub),usb\class_09,Generic USB Hub,usb\root_hub20\4&b21407d&0,0,Microsoft,usbhub,"\driver\usbhub,\driver\acpi,\driver\usbhub"
usb/vid_8087&pid_0024/5&2cd6d949&0&1,2018-04-06 07:23:10,,usb,{36fc9e60-c465-11cf-8056-444553540000},"usb\class_09&subclass_00&prot_00,usb\class_09&subclass_00,usb\class_09",{27db0821-3bf9-f71a-f96f-a53403857690},Generic USB Hub,0000e88fe6988ca662e3c589469cd4ff48106980300f,usb.inf_amd64_ebcab8a14ba66a64,usbhub.sys,06-21-2006,10.0.16299.15,usb,"usb\vid_8087&pid_0024&rev_0000,usb\vid_8087&pid_0024",usb.inf,0,(Generic USB Hub),usb\class_09,Generic USB Hub,usb\root_hub20\4&1671a21&0,0,Microsoft,usbhub,"\driver\usbhub,\driver\acpi,\driver\usbhub"
usbstor/disk&ven_sandisk&prod_extreme&rev_0001/aa010603160707470215&0,2018-04-06 07:23:10,SanDisk Extreme USB Device,diskdrive,{4d36e967-e325-11ce-bfc1-08002be10318},"usbstor\disk,usbstor\raw,gendisk",{31c91f64-5f18-21bb-69b8-eeac97f68612},SanDisk Extreme USB Device,000008e6adb07c1b3cbed594f48d1e2d7ee48a1ccaaa,disk.inf_amd64_a08f315558d0a31e,disk.sys,06-21-2006,10.0.16299.251,usbstor,"usbstor\disksandisk_extreme_________0001,usbstor\disksandisk_extreme_________,usbstor\disksandisk_,usbstor\sandisk_extreme_________0,sandisk_extreme_________0,usbstor\gendisk,gendisk",disk.inf,0,(Standard disk drives),gendisk,Disk drive,usb\vid_0781&pid_5580\aa010603160707470215,0,Microsoft,disk,"\driver\partmgr,\driver\disk,\driver\usbstor"
{5d624f94-8850-40c3-a3fa-a4fd2080baf3}/vwifimp_wfd/5&2b14fa57&0&11,2018-04-06 07:23:10,Microsoft Virtual WiFi Miniport Adapter_11,net,{4d36e972-e325-11ce-bfc1-08002be10318},{5d624f94-8850-40c3-a3fa-a4fd2080baf3}\vwifimp_wfd,{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft Wi-Fi Direct Virtual Adapter,0000dfadb987160e7ced89898d8da7c21e07e6659263,netvwifimp.inf_amd64_6329c29098c07306,vwifimp.sys,06-21-2006,10.0.16299.15,{5d624f94-8850-40c3-a3fa-a4fd2080baf3},{5d624f94-8850-40c3-a3fa-a4fd2080baf3}\vwifimp_wfd,netvwifimp.inf,0,Microsoft,{5d624f94-8850-40c3-a3fa-a4fd2080baf3}\vwifimp_wfd,Microsoft Wi-Fi Direct Virtual Adapter,pci\ven_14e4&dev_4727&subsys_00151028&rev_01\4&752ea02&0&00e1,0,Microsoft,vwifimp,"\driver\vwifimp,\driver\vwifibus"
{f2288b13-0f70-5fb5-9efe-b5047876fc7a},2018-04-06 07:23:10,,ComputerHardwareId,,"BiosVendor:Dell Inc.,BiosVersion:A14,BiosReleaseDate:12/27/2013,BiosMajorRelease:0x4,BiosMinorRelease:0x6,SystemManufacturer:Dell Inc.,SystemProduct:Latitude E6430,SystemFamily:,SystemSKUNumber:Latitude E6430,BaseboardManufacturer:Dell Inc.,BaseboardProduct:0CDR63,BaseboardVersion:A00,EnclosureType:0x9",{f2288b13-0f70-5fb5-9efe-b5047876fc7a},,,,,,,ComputerHardwareId,"{c9859588-f460-5dc3-bff5-c1d37f9496f0},{d1a9b880-ce31-5301-aad0-be43b87965ed},{752ec90e-aa94-56d9-b85a-5b11fee6bde4},{cb1c4021-08d4-5d58-b753-716ff76d6e45},{5d3f274e-6689-5462-87f2-cca78f6a864f},{25f0e994-adc4-5aad-8b5d-9c0817f99749},{bdc20b6c-7c23-5cb0-9dfa-6bab4e20499b},{89015e1d-c530-58f4-a201-be35a0628b90},{bdc20b6c-7c23-5cb0-9dfa-6bab4e20499b},{89015e1d-c530-58f4-a201-be35a0628b90},{29ca4080-4d68-5395-afe2-35fa9a4f13bf},{95373bfa-2196-5ec2-97fd-c5d358a8ef97},{85d38fda-fc0e-5c6f-808f-076984ae7978}",,0,Dell Inc.,{f2288b13-0f70-5fb5-9efe-b5047876fc7a},,,0,,,
