BatchKeyPath,BatchValueName,Extension,ValueName,MruPosition,AbsolutePath,OpenedOn,Details
Long name: AIRPORT INFORMATION.docx
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\jpg,3,jpg,3,3,My Computer\Desktop\BladeofGrass.jpg,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: BladeofGrass.jpg

Type: File, Value: BladeofGrass.jpg

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: BladeofGrass.jpg
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\pdf,0,pdf,0,3,My Computer\Desktop\SelfDefenseisMurder.pdf,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: SelfDefenseisMurder.pdf

Type: File, Value: SelfDefenseisMurder.pdf

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: SelfDefenseisMurder.pdf
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,0,*,0,4,My Computer\C:\Users\jcloudy\Desktop\Cloudy thoughts (4apr).docx,,"Type: Root folder: GUID, Value: My Computer


Type: Drive letter, Value: C:


Type: Directory, Value: Users

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Users
Localized name: @shell32.dll,-21813
Created: 9/29/2017 08:45:12 +00:00
Last access: 3/27/2018 09:36:34 +00:00
MFT entry/sequence #: 1417/1 (0x589/0x1)
File system hint: NTFS

--------------------------------------------------
Short name: Users
Modified: 3/27/2018 09:36:34 +00:00


Type: Directory, Value: jcloudy

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: jcloudy
Created: 3/27/2018 09:19:00 +00:00
Last access: 3/28/2018 00:53:58 +00:00
MFT entry/sequence #: 92991/1 (0x16B3F/0x1)
File system hint: NTFS

--------------------------------------------------
Short name: jcloudy
Modified: 3/28/2018 00:53:58 +00:00


Type: Directory, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Desktop
Localized name: @shell32.dll,-21769
Created: 3/27/2018 09:19:00 +00:00
Last access: 4/5/2018 02:20:18 +00:00
MFT entry/sequence #: 93001/1 (0x16B49/0x1)
File system hint: NTFS

--------------------------------------------------
Short name: Desktop
Modified: 4/5/2018 02:20:18 +00:00


Short name: Cloudy thoughts (4apr).docx

Type: File, Value: Cloudy thoughts (4apr).docx

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Cloudy thoughts (4apr).docx
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\docx,0,docx,0,4,My Computer\Desktop\Planning.docx,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0026)----------------------
Signature: 0xbeef0026
Size: 38
Version: 1
Version Offset: 0x00


Created: 2018-03-27 09:18:58.7047920
Last modified: 2018-03-27 09:20:00.4929730
Last accessed: 2018-03-27 09:20:00.3992186


--------------------------------------------------

Short name: Planning.docx

Type: File, Value: Planning.docx

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Planning.docx
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\jpg,2,jpg,2,4,My Computer\Desktop\Sheep.jpg,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0026)----------------------
Signature: 0xbeef0026
Size: 38
Version: 1
Version Offset: 0x00


Created: 2018-03-27 09:18:58.7047920
Last modified: 2018-03-30 02:33:02.3980896
Last accessed: 2018-03-30 02:33:02.3980896


--------------------------------------------------

Short name: Sheep.jpg

Type: File, Value: Sheep.jpg

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Sheep.jpg
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,19,*,19,5,My Computer\Desktop,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0026)----------------------
Signature: 0xbeef0026
Size: 38
Version: 1
Version Offset: 0x00


Created: 2018-03-27 09:18:58.7047920
Last modified: 2018-04-05 02:20:17.1953243
Last accessed: 2018-04-05 02:20:17.1953243


--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\jpg,1,jpg,1,5,My Computer\Desktop\MyTiredHead.jpg,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0026)----------------------
Signature: 0xbeef0026
Size: 38
Version: 1
Version Offset: 0x00


Created: 2018-03-27 09:18:58.7047920
Last modified: 2018-03-30 02:33:02.3980896
Last accessed: 2018-03-30 02:33:02.3980896


--------------------------------------------------

Short name: MyTiredHead.jpg

Type: File, Value: MyTiredHead.jpg

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: MyTiredHead.jpg
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,18,*,18,6,OneDrive,,"Type: Root folder: GUID, Value: OneDrive

Extension blocks found: 1
---------------------- Block 0 (Beef0026)----------------------
Signature: 0xbeef0026
Size: 38
Version: 1
Version Offset: 0x00


Created: 2018-03-27 09:21:44.2481278
Last modified: 2018-04-04 05:59:44.9753984
Last accessed: 2018-04-04 05:59:44.9753984


--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\jpg,0,jpg,0,6,My Computer\Downloads\DemGun.jpg,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Downloads


Short name: DemGun.jpg

Type: File, Value: DemGun.jpg

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: DemGun.jpg
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,17,*,17,7,My Computer\Desktop\Operation 2nd Hand Smoke.pptx,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0026)----------------------
Signature: 0xbeef0026
Size: 38
Version: 1
Version Offset: 0x00


Created: 2018-03-27 09:18:58.7047920
Last modified: 2018-04-04 04:33:09.7334881
Last accessed: 2018-04-04 04:33:09.7334881


--------------------------------------------------

Short name: Operation 2nd Hand Smoke.pptx

Type: File, Value: Operation 2nd Hand Smoke.pptx

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Operation 2nd Hand Smoke.pptx
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,16,*,16,8,My Computer\Desktop\The Cloudy Manifesto.docx,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0026)----------------------
Signature: 0xbeef0026
Size: 38
Version: 1
Version Offset: 0x00


Created: 2018-03-27 09:18:58.7047920
Last modified: 2018-04-02 01:35:27.8449671
Last accessed: 2018-04-02 01:35:27.8449671


--------------------------------------------------

Short name: THECLO~1.DOC

File size: 816,313
Modified On: 4/2/2018 01:35:28.000  +00:00

Type: File, Value: The Cloudy Manifesto.docx

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: The Cloudy Manifesto.docx
Created: 4/2/2018 01:35:28 +00:00
Last access: 4/2/2018 01:35:28 +00:00
MFT entry/sequence #: 135991/4 (0x21337/0x4)
File system hint: NTFS

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,15,*,15,9,My Computer\C:\Users\jcloudy\Desktop\The Cloudy Manifesto.docx,,"Type: Root folder: GUID, Value: My Computer


Type: Drive letter, Value: C:


Type: Directory, Value: Users

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Users
Localized name: @shell32.dll,-21813
Created: 9/29/2017 08:45:12 +00:00
Last access: 3/27/2018 09:36:34 +00:00
MFT entry/sequence #: 1417/1 (0x589/0x1)
File system hint: NTFS

--------------------------------------------------
Short name: Users
Modified: 3/27/2018 09:36:34 +00:00


Type: Directory, Value: jcloudy

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: jcloudy
Created: 3/27/2018 09:19:00 +00:00
Last access: 3/28/2018 00:53:58 +00:00
MFT entry/sequence #: 92991/1 (0x16B3F/0x1)
File system hint: NTFS

--------------------------------------------------
Short name: jcloudy
Modified: 3/28/2018 00:53:58 +00:00


Type: Directory, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Desktop
Localized name: @shell32.dll,-21769
Created: 3/27/2018 09:19:00 +00:00
Last access: 4/2/2018 01:12:38 +00:00
MFT entry/sequence #: 93001/1 (0x16B49/0x1)
File system hint: NTFS

--------------------------------------------------
Short name: Desktop
Modified: 4/2/2018 01:12:38 +00:00


Short name: The Cloudy Manifesto.docx

Type: File, Value: The Cloudy Manifesto.docx

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: The Cloudy Manifesto.docx
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,14,*,14,10,My Computer\Desktop\Huckleberry.png,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: Huckleberry.png

Type: File, Value: Huckleberry.png

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Huckleberry.png
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,13,*,13,11,My Computer\Desktop\DemLogic.jpg,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: DemLogic.jpg

Type: File, Value: DemLogic.jpg

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: DemLogic.jpg
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,12,*,12,12,My Computer\Desktop\RedGuns.jpg,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: RedGuns.jpg

Type: File, Value: RedGuns.jpg

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: RedGuns.jpg
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,11,*,11,13,My Computer\Desktop\DeathToll.jpg,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: DeathToll.jpg

Type: File, Value: DeathToll.jpg

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: DeathToll.jpg
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,10,*,10,14,My Computer\Desktop\BladeofGrass.jpg,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: BladeofGrass.jpg

Type: File, Value: BladeofGrass.jpg

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: BladeofGrass.jpg
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,9,*,9,15,My Computer\Desktop\CubaDearmed.jpg_large,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: CubaDearmed.jpg_large

Type: File, Value: CubaDearmed.jpg_large

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: CubaDearmed.jpg_large
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,8,*,8,16,"My Computer\Desktop\Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html",,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html

Type: File, Value: Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,7,*,7,17,My Computer\Desktop\Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html

Type: File, Value: Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,6,*,6,18,My Computer\Desktop\DarkWolf.png,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0026)----------------------
Signature: 0xbeef0026
Size: 38
Version: 1
Version Offset: 0x00


Created: 2018-03-27 09:18:58.7047920
Last modified: 2018-03-30 02:33:02.3980896
Last accessed: 2018-03-30 02:33:02.3980896


--------------------------------------------------

Short name: DarkWolf.png

Type: File, Value: DarkWolf.png

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: DarkWolf.png
Created: 
Last access: 

--------------------------------------------------

"
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,5,*,5,19,My Computer\Desktop\Sheep.jpg,,"Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0026)----------------------
Signature: 0xbeef0026
Size: 38
Version: 1
Version Offset: 0x00


Created: 2018-03-27 09:18:58.7047920
Last modified: 2018-03-30 02:33:02.3980896
Last accessed: 2018-03-30 02:33:02.3980896


--------------------------------------------------

Short name: Sheep.jpg

Type: File, Value: Sheep.jpg

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Sheep.jpg
Created: 
Last access: 

--------------------------------------------------

"
